residuals	frequency
9.68393884507e-05	0.0697887970615
0.000552021614684	0.0532598714417
0.00100720384092	0.0422405876951
0.00146238606715	0.0505050505051
0.00191756829338	0.0257116620753
0.00237275051962	0.0321395775941
0.00282793274585	0.030303030303
0.00328311497209	0.0385674931129
0.00373829719832	0.0238751147842
0.00419347942455	0.0312213039486
0.00464866165079	0.0266299357208
0.00510384387702	0.0321395775941
0.00555902610325	0.0321395775941
0.00601420832949	0.0367309458219
0.00646939055572	0.0229568411387
0.00692457278195	0.0229568411387
0.00737975500819	0.0321395775941
0.00783493723442	0.0394857667585
0.00829011946065	0.0413223140496
0.00874530168689	0.0560146923783
0.00920048391312	0.0541781450872
0.00965566613935	0.0495867768595
0.0101108483656	0.0348943985308
0.0105660305918	0.0348943985308
0.0110212128181	0.0293847566575
0.0114763950443	0.0128558310376
0.0119315772705	0.0146923783287
0.0123867594968	0.010101010101
0.012841941723	0.010101010101
0.0132971239492	0.00367309458219
0.0137523061755	0.000918273645546
0.0142074884017	0.00275482093664
0.0146626706279	0.00183654729109
