residuals	frequency
0.000438425579398	0.00459136822773
0.000807132350826	0.0119375573921
0.00117583912225	0.0183654729109
0.00154454589368	0.0137741046832
0.00191325266511	0.0413223140496
0.00228195943654	0.0468319559229
0.00265066620797	0.0642791551882
0.00301937297939	0.0514233241506
0.00338807975082	0.0422405876951
0.00375678652225	0.048668503214
0.00412549329368	0.048668503214
0.00449420006511	0.0284664830119
0.00486290683653	0.0413223140496
0.00523161360796	0.020202020202
0.00560032037939	0.0238751147842
0.00596902715082	0.0293847566575
0.00633773392225	0.0266299357208
0.00670644069367	0.0238751147842
0.0070751474651	0.0238751147842
0.00744385423653	0.0211202938476
0.00781256100796	0.0192837465565
0.00818126777939	0.020202020202
0.00854997455081	0.0266299357208
0.00891868132224	0.0266299357208
0.00928738809367	0.0367309458219
0.0096560948651	0.0550964187328
0.0100248016365	0.0505050505051
0.010393508408	0.0495867768595
0.0107622151794	0.0339761248852
0.0111309219508	0.0312213039486
0.0114996287222	0.0137741046832
0.0118683354937	0.00367309458219
0.0122370422651	0.00183654729109
